5,62,106
5,29,62
5,17,142
5,60,101
5,15,57
5,6,31
5,92,100
5,39,109
5,48,119
5,84,77
5,41,58
5,67,124
64,48,480
4,34,87
4,76,46
4,69,84
4,91,83
4,93,121
4,42,94
4,1,110
4,73,103
4,16,84
4,66,81
79,36,170
79,58,157
79,46,139
79,9,65
79,22,174
79,25,66
79,72,130
79,23,159
79,37,131
79,95,101
79,81,99
79,56,85
96,65,223
96,52,178
96,54,37
96,99,322
96,57,182
96,12,228
96,35,91
96,8,94
62,60,18
62,18,92
62,48,27
62,41,93
30,55,37
30,31,20
30,36,150
30,51,28
30,99,25
30,2,21
30,21,37
30,0,18
30,70,20
30,27,37
30,9,125
30,85,21
30,88,30
30,50,33
30,78,29
30,23,81
30,7,32
30,94,29
30,56,154
30,83,20
30,71,17
34,24,16
34,76,53
34,74,11
34,91,21
34,51,34
34,28,14
34,49,8
34,21,21
34,32,10
34,27,21
34,59,14
34,88,26
34,50,12
34,26,15
34,78,33
34,94,30
34,61,18
34,44,16
34,83,27
24,31,19
24,74,13
24,91,27
24,51,22
24,28,11
24,49,16
24,68,15
24,21,9
24,32,11
24,70,19
24,27,9
24,59,11
24,85,20
24,50,19
24,26,13
24,7,4
24,94,18
24,44,7
24,66,15
24,83,29
55,76,60
55,51,20
55,21,7
55,70,24
55,27,5
55,42,130
55,85,20
55,88,13
55,78,19
55,7,12
29,17,111
29,6,75
29,92,65
29,39,79
29,84,43
29,67,89
76,69,112
76,74,58
76,91,49
76,28,58
76,32,55
76,93,142
76,42,125
76,16,91
76,66,47
65,52,71
65,77,58
65,57,120
65,89,89
65,12,35
65,40,211
65,8,208
52,43,251
52,57,69
52,89,123
52,12,94
52,40,168
52,8,158
17,43,221
17,6,153
17,47,149
17,39,56
17,84,82
17,86,65
17,87,120
33,43,246
33,46,124
33,45,168
33,82,10
33,72,128
33,19,9
33,37,160
31,74,16
31,51,26
31,28,15
31,68,14
31,99,33
31,32,23
31,0,5
31,70,15
31,93,128
31,9,131
31,59,13
31,85,21
31,88,24
31,50,18
31,26,12
31,78,28
31,23,87
31,94,21
31,16,88
31,61,14
31,44,22
31,97,28
31,83,14
69,38,28
69,20,58
69,93,154
69,16,117
36,43,127
36,99,152
36,57,220
36,9,172
36,45,143
36,23,86
36,56,108
36,40,191
3,58,260
3,10,301
3,53,58
3,95,177
58,91,147
58,10,93
58,93,70
58,9,108
58,50,141
58,95,119
58,16,85
58,83,144
38,20,36
38,27,168
38,42,76
38,1,164
38,73,87
38,11,87
60,18,87
60,48,35
60,41,89
74,91,26
74,28,6
74,49,9
74,68,8
74,21,19
74,32,12
74,27,19
74,59,7
74,50,15
74,26,9
74,78,31
74,61,18
74,44,14
74,66,23
74,83,26
91,28,25
91,49,25
91,21,32
91,32,22
91,27,32
91,93,129
91,59,27
91,50,28
91,26,29
91,16,89
91,61,32
91,44,28
91,66,30
91,83,37
54,63,44
54,35,67
54,8,70
51,28,30
51,49,34
51,99,39
51,2,13
51,21,19
51,32,30
51,0,27
51,70,16
51,27,20
51,85,12
51,88,14
51,50,37
51,78,10
51,7,21
51,94,22
51,44,26
51,97,7
51,71,17
10,95,160
43,57,212
43,45,152
43,13,119
43,47,208
43,39,223
43,23,186
43,14,100
43,56,207
28,49,12
28,68,9
28,21,18
28,32,11
28,70,25
28,27,17
28,59,5
28,85,26
28,88,19
28,50,17
28,26,8
28,7,12
28,94,20
28,61,18
28,44,12
28,66,21
28,83,25
77,89,98
77,12,34
77,75,124
77,98,56
49,68,7
49,21,21
49,32,12
49,27,21
49,59,11
49,88,26
49,50,10
49,26,9
49,78,33
49,94,26
49,61,16
49,44,16
49,83,25
68,21,21
68,32,15
68,27,21
68,59,7
68,85,30
68,50,10
68,26,5
68,78,33
68,94,22
68,61,12
68,44,16
68,66,25
68,83,22
99,2,31
99,57,174
99,70,28
99,9,126
99,13,267
99,88,37
99,78,39
99,23,82
99,7,39
99,94,38
99,1,108
99,56,156
99,40,99
99,83,36
99,71,27
2,59,29
2,85,4
2,88,16
2,26,30
2,78,14
2,7,20
2,94,18
2,44,27
2,97,9
2,40,111
2,83,33
2,71,11
57,89,139
57,45,316
57,13,126
57,75,146
57,23,194
57,1,189
57,40,124
21,70,23
21,27,3
21,85,20
21,88,12
21,50,23
21,78,19
21,7,9
21,44,13
21,66,17
20,42,59
20,73,69
20,11,69
89,80,97
89,12,107
89,75,57
89,98,131
89,40,153
32,27,15
32,59,14
32,50,14
32,26,16
32,78,29
32,94,26
32,61,20
32,44,11
32,66,14
32,83,29
63,67,66
63,35,73
63,8,76
18,48,102
18,41,17
0,70,14
0,59,15
0,85,20
0,88,23
0,26,14
0,78,27
0,7,23
0,94,22
0,44,24
0,97,28
70,27,23
70,59,23
70,85,9
70,88,14
70,26,22
70,78,16
70,23,88
70,7,17
70,94,15
70,97,17
70,71,4
46,25,113
46,72,56
46,37,102
46,56,146
15,6,50
15,41,10
27,59,18
27,42,130
27,85,20
27,88,13
27,26,20
27,78,19
27,7,10
27,61,29
27,44,13
27,66,16
93,9,154
93,50,124
93,16,66
93,83,128
9,23,128
9,95,107
9,16,134
9,56,84
59,50,14
59,26,5
59,94,20
59,61,15
59,44,14
59,83,23
42,1,129
42,73,20
42,11,20
45,47,147
45,72,152
45,23,170
45,37,128
45,56,175
22,25,128
22,53,55
22,95,117
22,81,110
13,14,56
13,67,74
13,35,16
13,8,8
85,88,16
85,78,15
85,7,19
85,94,17
85,71,9
6,92,112
6,39,122
6,84,89
6,41,51
6,67,136
82,19,8
80,75,50
80,1,121
80,98,104
80,40,160
47,90,162
47,86,164
47,19,134
47,87,47
92,39,108
92,84,72
92,67,42
39,84,51
39,86,107
88,50,29
88,26,21
88,78,15
88,7,10
88,94,20
88,44,17
88,66,25
12,48,471
12,98,81
75,98,114
75,40,159
50,26,12
50,78,36
50,94,26
50,16,84
50,61,8
50,44,19
50,83,18
25,72,102
25,37,142
25,95,88
25,81,54
26,94,20
26,61,13
26,44,16
26,66,25
26,83,22
48,41,107
84,86,130
84,67,98
72,37,60
72,56,105
78,7,20
78,94,24
78,1,83
78,44,25
78,40,111
23,56,91
23,40,137
23,83,89
23,71,88
7,94,19
94,61,29
94,44,21
94,97,24
90,86,245
90,19,138
90,87,134
86,87,136
19,87,156
37,56,65
1,73,135
1,40,86
95,81,107
73,11,8
16,83,87
61,83,17
44,66,16
44,83,30
14,67,91
14,35,51
67,35,67
35,8,16
83,71,28
